FIPS,State,County,UnempRate2011,PovertyAllAgesPct2010,PovertyUnder18Pct2010
00000,US,,8.9,15.3,21.6
01000,AL,,9,18.9,27.4
01001,AL,Autauga,8,11.9,17.5
01003,AL,Baldwin,8.1,13.3,20.2
01005,AL,Barbour,11.4,25.3,36.2
01007,AL,Bibb,9.9,20.9,28.6
01009,AL,Blount,8.3,16.5,24.1
01011,AL,Bullock,15.3,31.1,40.3
01013,AL,Butler,11.6,28.1,39.6
01015,AL,Calhoun,9.2,23.5,31.5
01017,AL,Chambers,11.4,28.5,43.5
01019,AL,Cherokee,8.7,21.2,33.1
01021,AL,Chilton,8.6,20.4,32
01023,AL,Choctaw,11.4,20.7,29.9
01025,AL,Clarke,15.2,24.9,33.5
01027,AL,Clay,11.8,20.6,29.8
01029,AL,Cleburne,8.3,17.8,26.8
01031,AL,Coffee,7.1,20.1,30
01033,AL,Colbert,9,19.2,32.2
01035,AL,Conecuh,14.8,25.7,41
01037,AL,Coosa,10.6,18.6,29.5
01039,AL,Covington,8.9,20.9,30.2
01041,AL,Crenshaw,8.7,20.3,30.3
01043,AL,Cullman,8.1,19.2,26.8
01045,AL,Dale,8.3,17.8,25.6
01047,AL,Dallas,16.2,35.6,56.5
01049,AL,DeKalb,11.2,20.8,31.6
01051,AL,Elmore,8.3,12.5,18.4
01053,AL,Escambia,10.5,26.1,35.6
01055,AL,Etowah,9.1,19,28.8
01057,AL,Fayette,10.4,27.3,36
01059,AL,Franklin,9.4,21.6,34.2
01061,AL,Geneva,8.3,20.3,31.6
01063,AL,Greene,14.2,31,40.9
01065,AL,Hale,12,24.8,35.7
01067,AL,Henry,8.4,18.1,28.8
01069,AL,Houston,8.1,17.9,28
01071,AL,Jackson,8.7,19.9,28.6
01073,AL,Jefferson,8.7,18.6,27.7
01075,AL,Lamar,9.9,21.5,31.4
01077,AL,Lauderdale,8.3,17.6,25.7
01079,AL,Lawrence,10.1,18.1,24.1
01081,AL,Lee,7.4,21.3,20.6
01083,AL,Limestone,7.6,14.1,19.5
01085,AL,Lowndes,16.6,30.7,45.8
01087,AL,Macon,12.5,31.2,46.8
01089,AL,Madison,7.6,12.7,18
01091,AL,Marengo,11.8,23.6,32.5
01093,AL,Marion,11.3,20.9,31.1
01095,AL,Marshall,8.6,19.4,30.9
01097,AL,Mobile,10.1,20.5,28.9
01099,AL,Monroe,15.3,28.4,49.9
01101,AL,Montgomery,9.1,21.3,32.3
01103,AL,Morgan,8.7,14.1,21.4
01105,AL,Perry,16.4,39.5,54.3
01107,AL,Pickens,10.7,24.4,35.5
01109,AL,Pike,7.8,30,37.7
01111,AL,Randolph,11,24.8,36.5
01113,AL,Russell,10.1,24.1,35.8
01115,AL,St. Clair,8.3,13,19.8
01117,AL,Shelby,6.3,9.8,13.2
01119,AL,Sumter,14.5,31.3,42.8
01121,AL,Talladega,10.3,22.7,33.6
01123,AL,Tallapoosa,11.5,18.3,29.5
01125,AL,Tuscaloosa,8.2,18,23.4
01127,AL,Walker,9.5,23.2,34.6
01129,AL,Washington,14,19.6,28.5
01131,AL,Wilcox,19.3,39.6,52.5
01133,AL,Winston,13.4,20.3,31.9
02000,AK,,7.6,11,14.8
02010,AK,Aleutian Islands,,,
02013,AK,Aleutians East,11.1,16.8,16.4
02016,AK,Aleutians West,7.8,9,11
02020,AK,Anchorage,6.1,9.6,12.2
02050,AK,Bethel,14.7,22.6,30.2
02060,AK,Bristol Bay,3.9,8.8,9.1
02068,AK,Denali,9.9,5.6,6.7
02070,AK,Dillingham,10.2,20.6,29.5
02090,AK,Fairbanks North Star,6.7,9.4,12.5
02100,AK,Haines,8.2,12.1,19.5
02105,AK,Hoonah-Angoon,16.5,19.4,26.4
02110,AK,Juneau City and Borough,5.3,8.2,10
02122,AK,Kenai Peninsula,9.3,10.7,14.4
