FIPS,State,County,TotalPop2010,Under18Pct2010,Age65AndOlderPct2010,Ed1LessThanHSPct0610,Ed2HSGradOnlyPct0610,Ed4CollegePlusPct0610,FemaleHHPct0610,BlackNonHispanicPct2010
0,US,,308745538,24.0,13.0,15.0,29.0,27.9,12.6,12.2
1000,AL,,4779736,23.7,13.8,18.6,31.8,21.7,14.7,26.0
1001,AL,Autauga,54571,26.8,12.0,14.7,35.2,21.7,13.5,17.6
1003,AL,Baldwin,182265,23.0,16.8,12.4,29.9,26.8,10.3,9.3
1005,AL,Barbour,27457,21.9,14.2,28.1,35.4,13.5,18.0,46.7
1007,AL,Bibb,22915,22.7,12.7,25.5,42.3,10.0,11.9,21.9
1009,AL,Blount,57322,24.6,14.7,25.3,36.4,12.5,9.7,1.3
1011,AL,Bullock,10914,22.3,13.5,25.3,36.6,12.0,24.7,70.0
1013,AL,Butler,20947,24.1,16.7,25.2,38.7,11.0,22.5,43.2
1015,AL,Calhoun,118572,22.9,14.3,21.5,34.5,16.1,15.0,20.4
1017,AL,Chambers,34215,22.5,16.7,28.2,34.3,10.8,15.8,38.6
1019,AL,Cherokee,25989,21.4,17.9,26.6,35.3,10.5,9.0,4.6
1021,AL,Chilton,43643,25.1,13.6,24.1,40.5,12.2,12.5,9.6
1023,AL,Choctaw,13859,22.7,18.2,28.9,39.3,10.9,17.3,43.2
1025,AL,Clarke,25833,24.7,16.2,23.9,42.1,13.5,13.8,43.7
1027,AL,Clay,13932,22.6,17.6,28.6,38.8,9.5,11.6,14.7
1029,AL,Cleburne,14972,23.7,15.8,29.7,39.5,8.4,12.6,3.3
1031,AL,Coffee,49948,24.2,14.4,20.7,28.2,22.1,12.9,16.5
1033,AL,Colbert,54428,22.1,17.4,19.9,34.3,16.4,12.0,16.0
1035,AL,Conecuh,13228,23.0,17.9,28.7,37.0,9.7,11.9,46.3
1037,AL,Coosa,11539,20.5,17.1,26.9,42.5,10.6,11.7,30.8
1039,AL,Covington,37765,22.6,18.4,23.5,37.3,13.1,15.5,12.4
1041,AL,Crenshaw,13906,23.8,15.9,26.3,38.2,10.1,14.2,23.3
1043,AL,Cullman,80406,23.2,15.9,23.1,33.6,13.8,12.1,1.0
1045,AL,Dale,50251,24.8,13.5,17.8,29.7,17.5,13.3,19.0
1047,AL,Dallas,43820,26.5,14.1,23.2,36.6,14.3,23.6,69.2
1049,AL,DeKalb,71109,25.8,13.9,31.9,33.8,10.9,12.2,1.4
1051,AL,Elmore,79303,23.6,11.9,16.2,35.2,20.2,13.0,19.9
1053,AL,Escambia,38319,22.6,15.2,27.0,35.3,10.9,17.1,31.7
1055,AL,Etowah,104430,23.0,15.8,18.8,33.2,15.8,13.3,15.0
1057,AL,Fayette,17241,22.3,17.9,25.3,37.6,9.5,11.5,11.4
1059,AL,Franklin,31704,24.8,15.2,30.4,32.2,11.8,12.1,3.8
1061,AL,Geneva,26790,22.4,17.4,27.7,37.5,8.0,13.8,9.4
1063,AL,Greene,9045,24.3,16.1,27.4,36.9,9.9,25.0,81.2
1065,AL,Hale,15760,24.8,15.0,30.1,34.2,10.0,23.3,58.8
1067,AL,Henry,17302,22.6,17.6,23.9,37.9,15.0,14.8,28.4
1069,AL,Houston,101547,24.5,14.5,18.1,33.2,19.0,15.1,25.6
1071,AL,Jackson,53227,22.5,16.5,26.0,36.4,12.0,11.1,3.3
1073,AL,Jefferson,658466,23.5,13.1,13.4,28.1,28.8,17.6,41.8
1075,AL,Lamar,14564,22.2,18.8,24.7,41.5,9.2,10.7,11.2
1077,AL,Lauderdale,92709,21.6,16.8,17.1,34.0,21.5,11.6,9.9
1079,AL,Lawrence,34339,23.2,14.6,24.8,39.2,10.7,11.7,11.4
1081,AL,Lee,140247,22.5,9.1,14.8,26.6,30.9,12.5,22.6
1083,AL,Limestone,82782,24.0,12.3,19.6,32.7,20.8,10.9,12.5
1085,AL,Lowndes,11299,24.2,14.6,26.6,39.2,12.7,28.7,73.3
1087,AL,Macon,21452,20.6,14.1,21.2,29.2,20.9,25.3,82.2
1089,AL,Madison,334811,23.7,12.2,12.2,22.2,37.4,12.2,23.7
1091,AL,Marengo,21027,24.7,16.3,20.3,37.6,17.9,19.3,51.5
1093,AL,Marion,30776,21.7,18.3,29.0,35.2,8.8,12.3,3.8
1095,AL,Marshall,93019,25.0,14.9,26.3,32.2,14.5,12.0,1.5
1097,AL,Mobile,412992,25.1,12.9,17.7,34.3,19.8,17.6,34.4
1099,AL,Monroe,23068,25.3,15.7,24.6,39.9,11.2,19.1,41.5
1101,AL,Montgomery,229363,24.5,12.0,15.3,27.5,30.5,19.8,54.5
1103,AL,Morgan,119490,24.0,14.1,19.2,31.6,19.1,12.1,11.8
1105,AL,Perry,10591,24.1,16.7,28.5,37.9,13.3,27.7,68.4
1107,AL,Pickens,19746,23.3,16.9,21.3,41.9,11.5,17.5,41.4
1109,AL,Pike,32899,20.3,12.8,20.6,35.5,23.7,16.6,36.4
1111,AL,Randolph,22913,23.9,17.0,28.4,36.3,12.2,13.0,20.1
1113,AL,Russell,52947,25.5,12.7,23.1,35.3,11.9,19.6,41.4
1115,AL,St. Clair,83593,23.7,13.1,20.7,36.4,14.5,11.5,8.5
1117,AL,Shelby,195085,25.6,10.6,8.5,22.3,39.6,8.9,10.6
1119,AL,Sumter,13763,22.3,15.0,24.6,40.2,12.8,26.1,74.7
1121,AL,Talladega,82291,23.4,14.1,24.3,37.1,11.9,16.1,31.5
1123,AL,Tallapoosa,41616,22.2,17.3,23.9,34.1,15.7,15.0,26.6
1125,AL,Tuscaloosa,194656,21.5,10.8,15.3,31.3,26.2,13.4,29.5
1127,AL,Walker,67023,22.5,16.3,24.5,35.7,9.7,14.5,5.8
1129,AL,Washington,17581,25.5,14.7,22.0,45.5,9.3,11.4,24.8
1131,AL,Wilcox,11670,27.0,15.0,31.5,35.7,13.2,28.5,72.2
1133,AL,Winston,24484,21.6,17.7,30.7,33.5,11.1,11.1,0.5
2000,AK,,710231,26.4,7.7,9.3,27.4,27.0,11.2,3.1
2013,AK,Aleutians East,3141,11.8,4.9,35.9,27.1,9.6,18.4,6.7
2016,AK,Aleutians West,5561,14.7,3.5,29.6,34.4,9.0,10.2,5.7
2020,AK,Anchorage,291826,26.0,7.2,8.1,22.9,33.0,11.7,5.2
2050,AK,Bethel,17013,36.5,6.1,21.6,39.6,13.9,15.3,0.4
2060,AK,Bristol Bay,997,22.6,8.3,9.4,27.5,15.9,9.0,0.0
2068,AK,Denali,1826,22.5,7.5,4.3,29.7,27.5,1.6,0.5
2070,AK,Dillingham,4847,32.9,7.6,17.4,31.8,20.2,17.2,0.2
2090,AK,Fairbanks North Star,97581,25.6,6.5,7.1,26.5,27.1,9.9,4.3
2100,AK,Haines,2508,19.9,13.8,6.0,34.4,33.1,5.6,0.4
2105,AK,Hoonah-Angoon,2150,19.7,13.4,12.4,29.9,27.9,9.0,0.4
2110,AK,Juneau City and Borough,31275,23.5,8.4,4.7,23.8,34.7,11.8,0.8
2122,AK,Kenai Peninsula,55400,23.7,11.3,7.9,32.6,22.4,8.3,0.4
2130,AK,Ketchikan Gateway,13477,23.9,10.1,7.5,30.2,24.2,12.2,0.6
2150,AK,Kodiak Island,13592,28.6,6.7,12.3,27.2,21.8,10.7,0.6
2164,AK,Lake and Peninsula,1631,30.2,7.8,22.0,31.1,13.5,22.0,0.6
2170,AK,Matanuska-Susitna,88995,28.9,7.9,8.2,31.1,20.8,9.6,0.9
2180,AK,Nome,9492,34.3,6.4,16.2,42.4,14.9,15.7,0.3
2185,AK,North Slope,9430,23.9,4.3,26.2,39.2,13.5,29.3,1.0
2188,AK,Northwest Arctic,7523,35.3,6.0,20.4,42.3,12.5,23.2,0.5
2195,AK,Petersburg,3815,23.4,11.5,4.5,35.9,27.4,7.5,0.4
2198,AK,Prince of Wales-Hyder,5559,25.6,10.1,11.6,39.5,17.8,11.3,0.3
2220,AK,Sitka City and Borough,8881,23.5,11.4,7.7,26.2,29.2,8.7,0.5
2230,AK,Skagway,968,15.7,9.1,4.7,18.6,32.3,9.1,0.0
2240,AK,Southeast Fairbanks,7029,26.3,9.4,8.9,32.2,20.0,6.9,1.0
2261,AK,Valdez-Cordova,9636,24.4,8.3,7.4,22.8,23.7,9.0,0.5
2270,AK,Wade Hampton,7459,41.6,5.4,26.4,43.4,7.7,23.8,0.0
2275,AK,Wrangell City and Borough,2369,22.0,15.8,10.4,37.2,16.2,14.3,0.2
2282,AK,Yakutat City and Borough,662,24.5,9.7,9.5,31.3,17.9,8.2,0.3
2290,AK,Yukon-Koyukuk,5588,27.8,10.2,20.5,36.5,11.5,14.4,0.2
4000,AZ,,6392017,25.5,13.8,15.0,25.1,26.3,11.8,3.7
4001,AZ,Apache,71518,31.7,11.6,27.9,31.6,10.3,21.4,0.2
4003,AZ,Cochise,131346,23.0,17.3,15.2,25.1,21.4,10.8,3.8
4005,AZ,Coconino,134421,23.6,8.9,13.0,23.5,31.1,13.5,1.1
4007,AZ,Gila,53597,21.4,23.2,16.6,33.0,15.0,10.6,0.4
4009,AZ,Graham,37220,28.4,11.4,18.2,33.6,13.4,18.0,1.7
4011,AZ,Greenlee,8437,29.2,12.0,10.2,34.6,13.4,11.9,0.9
4012,AZ,La Paz,20489,18.0,32.6,23.1,34.1,9.0,11.1,0.6
4013,AZ,Maricopa,3817117,26.4,12.1,14.4,23.8,29.0,11.6,4.6
4015,AZ,Mohave,200186,20.6,23.3,17.0,34.6,12.0,9.7,0.9
4017,AZ,Navajo,107449,29.8,13.3,19.5,30.0,14.4,17.2,0.8
4019,AZ,Pima,980263,23.0,15.4,13.2,23.6,29.6,12.1,3.2
4021,AZ,Pinal,375770,26.5,13.9,16.3,29.1,17.9,11.0,4.3
4023,AZ,Santa Cruz,47420,30.7,13.1,29.1,31.1,17.3,16.0,0.2
4025,AZ,Yavapai,211033,19.1,24.1,10.6,27.0,23.7,8.7,0.5
4027,AZ,Yuma,195751,28.2,15.7,28.4,27.0,13.3,14.5,1.6
5000,AR,,2915918,24.4,14.4,18.1,35.3,19.1,13.2,15.3
5001,AR,Arkansas,19019,23.3,16.4,20.6,37.8,14.3,13.6,24.4
5003,AR,Ashley,21853,24.4,16.2,18.9,45.0,13.7,12.9,25.7
5005,AR,Baxter,41513,18.1,28.1,16.3,37.5,14.5,8.3,0.1
5007,AR,Benton,221339,27.9,12.2,15.8,31.1,25.9,9.7,1.2
5009,AR,Boone,36903,23.3,18.1,16.2,40.8,14.5,8.3,0.2
5011,AR,Bradley,11508,23.3,17.7,30.6,39.7,12.7,16.8,27.5
5013,AR,Calhoun,5368,20.5,17.2,22.2,45.5,6.6,13.0,22.2
5015,AR,Carroll,27446,22.5,18.7,21.0,36.6,17.4,9.0,0.3
5017,AR,Chicot,11800,23.1,18.2,30.7,40.6,12.6,21.6,53.8
5019,AR,Clark,22995,19.5,14.8,16.9,36.8,21.7,12.3,23.3
5021,AR,Clay,16083,22.3,20.0,26.9,41.8,8.8,10.5,0.3
5023,AR,Cleburne,25970,19.9,23.6,20.9,35.5,13.8,8.1,0.3
5025,AR,Cleveland,8689,24.8,16.3,14.1,45.9,14.0,14.2,12.1
5027,AR,Columbia,24552,22.8,16.0,16.3,37.5,20.8,15.6,36.7
5029,AR,Conway,21273,24.2,16.9,17.3,44.0,13.8,13.6,11.2
5031,AR,Craighead,96443,25.0,12.2,16.7,35.0,23.1,14.8,13.0
5033,AR,Crawford,61948,26.4,13.3,22.6,34.8,13.0,11.9,1.1
5035,AR,Crittenden,50902,29.1,10.8,23.7,33.8,14.2,25.2,51.0
5037,AR,Cross,17870,25.1,15.4,23.9,42.6,12.6,12.5,22.2
5039,AR,Dallas,8116,23.6,18.2,19.7,46.0,12.4,15.2,41.8
5041,AR,Desha,13008,26.0,15.1,27.5,38.2,13.6,20.7,47.5
5043,AR,Drew,18509,23.6,14.8,19.4,37.1,19.4,16.9,27.8
